"","id","veg","log_ud_wt","log_avail","sel"
"1","15.01","Beach",-5.81578938416009,-3.2591008654623,-2.5566885186978
"2","15.01","Beachgrass dune",-3.1894645334551,-2.13854074466967,-1.05092378878543
"3","15.01","Brackish marsh",-2.11361097604264,-2.63127193640534,0.517660960362695
"4","15.01","Coastal scrub",-2.50292579009469,-1.69666763199447,-0.80625815810022
"5","15.01","Conifer forest",-1.30331028222001,-1.59552170925936,0.292211427039358
"6","15.01","Freshwater marsh",-4.56937870635209,-6.45464558606021,1.88526687970812
"7","15.01","Fruit tree",-5.91668873472015,-7.53004336325683,1.61335462853669
"8","15.01","Meadow",-1.75083508251265,-2.49758355876183,0.74674847624918
"9","15.01","Pasture",-1.7739088895132,-1.38277724147084,-0.391131648042365
"10","15.01","Shrub swale",-2.35628262628911,-3.4222228343082,1.06594020801909
"11","15.01","Wooded swale",-3.49262445630723,-4.03117632868265,0.538551872375428
"12","15.02","Beach",-4.50099343173946,-2.49267850705282,-2.00831492468665
"13","15.02","Beachgrass dune",-2.03097796809889,-1.42465457789133,-0.606323390207559
"14","15.02","Brackish marsh",-4.74386761914031,-3.51711124338586,-1.22675637575444
"15","15.02","Coastal scrub",-1.35967602405994,-1.10666467421709,-0.253011349842848
"16","15.02","Conifer forest",-1.96590484457074,-2.08322064577378,0.117315801203041
"17","15.02","Meadow",-2.5895174324659,-2.97581673217263,0.386299299706733
"18","15.02","Pasture",-2.30826208291025,-2.4205912915521,0.112329208641853
"19","15.02","Shrub swale",-1.59091327858897,-3.52177411256125,1.93086083397228
"20","15.02","Wooded swale",-2.6038618895643,-3.79758226617919,1.19372037661489
"21","15.03","Beachgrass dune",-5.72979184966267,-3.74234770758072,-1.98744414208194
"22","15.03","Coastal scrub",-2.28388218688917,-2.08500701625477,-0.198875170634402
"23","15.03","Conifer forest",-2.47424342909488,-1.35385380867396,-1.12038962042092
"24","15.03","Freshwater marsh",-2.71122457433137,-2.70015166615738,-0.0110729081739929
"25","15.03","Meadow",-1.21461272162643,-1.42151900835348,0.206906286727047
"26","15.03","Shrub swale",-0.819136721880759,-1.28993379305926,0.470797071178498
"27","15.03","Wooded swale",-5.02900648822397,-4.6131246399981,-0.415881848225863
"28","15.04","Beachgrass dune",-11.6161204215059,-10.1618754486387,-1.45424497286718
"29","15.04","Coastal scrub",-2.92476654426959,-3.00880659148142,0.0840400472118281
"30","15.04","Conifer forest",-1.74970798906993,-1.38594656907104,-0.363761419998884
"31","15.04","Freshwater marsh",-4.06546167081725,-3.50079760745724,-0.564664063360004
"32","15.04","Meadow",-1.41626456538801,-1.36818247487024,-0.0480820905177712
