"","id","veg","log_ud_wt","log_avail","sel"
"1","15.03","Beachgrass dune",-4.3343101801862,-3.74234770758072,-0.591962472605471
"2","15.03","Coastal scrub",-1.65369158239467,-2.08500701625477,0.431315433860094
"3","15.03","Conifer forest",-0.835679526799086,-1.35385380867396,0.518174281874875
"4","15.03","Freshwater marsh",-3.79442917358963,-2.70015166615738,-1.09427750743226
"5","15.03","Meadow",-1.49401516795935,-1.42151900835348,-0.0724961596058744
"6","15.03","Shrub swale",-2.38094206584657,-1.28993379305926,-1.09100827278732
"7","15.03","Wooded swale",-3.79253692284608,-4.6131246399981,0.820587717152024
"8","15.07","Coastal scrub",-2.80223471759187,-2.22534253582935,-0.576892181762522
"9","15.07","Conifer forest",-0.86579632115364,-0.687670044778984,-0.178126276374656
"10","15.07","Freshwater marsh",-2.58486096881563,-2.31350165796825,-0.271359310847378
"11","15.07","Meadow",-4.21288596871558,-3.91679176105631,-0.296094207659273
"12","15.07","Shrub swale",-4.70803021352443,-3.59670491652877,-1.11132529699566
"13","15.07","Wooded swale",-0.868985942017704,-1.41473304070437,0.545747098686669
"14","15.02","Beach",-2.7077144615322,-2.49267850705282,-0.215035954479383
"15","15.02","Beachgrass dune",-0.814362804828559,-1.42465457789133,0.610291773062771
"16","15.02","Brackish marsh",-Inf,-3.51711124338586,-Inf
"17","15.02","Coastal scrub",-0.723927589927856,-1.10666467421709,0.382737084289235
"18","15.02","Conifer forest",-5.19481538545159,-2.08322064577378,-3.11159473967781
"19","15.02","Meadow",-Inf,-2.97581673217263,-Inf
"20","15.02","Pasture",-Inf,-2.4205912915521,-Inf
"21","15.02","Shrub swale",-Inf,-3.52177411256125,-Inf
"22","15.02","Wooded swale",-Inf,-3.79758226617919,-Inf
"23","15.12","Beach",-2.95734621788138,-2.60235407595166,-0.354992141929719
"24","15.12","Beachgrass dune",-1.51848614833524,-1.75480127150538,0.236315123170131
"25","15.12","Brackish marsh",-Inf,-4.49805313192035,-Inf
"26","15.12","Coastal scrub",-0.54815665261115,-1.14369011984,0.595533467228851
"27","15.12","Conifer forest",-1.89057975001505,-1.25397154759575,-0.636608202419292
"28","15.12","Freshwater marsh",-Inf,-6.1301759603488,-Inf
"29","15.12","Fruit tree",-Inf,-7.20557373754543,-Inf
"30","15.12","Meadow",-18.8539556079027,-2.40004200640319,-16.4539136014995
"31","15.12","Pasture",-Inf,-5.91400096172644,-Inf
"32","15.12","Shrub swale",-13.3567670488679,-3.18243630533121,-10.1743307435367
"33","15.13","Beach",-5.30744015454649,-4.14442589757027,-1.16301425697622
"34","15.13","Beachgrass dune",-0.942474149196807,-1.41361115963932,0.471137010442509
"35","15.13","Coastal scrub",-0.564498662517701,-1.16964698523465,0.605148322716948
"36","15.13","Conifer forest",-3.73474057671995,-1.56703163902701,-2.16770893769294
"37","15.13","Freshwater marsh",-10.6456558308941,-3.13523494573593,-7.51042088515817
"38","15.13","Meadow",-4.71512660792357,-2.52397698891045,-2.19114961901313
"39","15.13","Shrub swale",-5.55300609122991,-2.35696192499954,-3.19604416623037
"40","15.13","Wooded swale",-Inf,-5.68199654737317,-Inf
"41","15.14","Beach",-11.8141168548094,-3.79455579950466,-8.01956105530469
"42","15.14","Beachgrass dune",-2.77054878184218,-1.73775851323873,-1.03279026860345
"43","15.14","Brackish marsh",-2.38397924630248,-3.14970596779577,0.765726721493285
"44","15.14","Coastal scrub",-1.78673862879881,-1.21480809221305,-0.571930536585755
"45","15.14","Conifer forest",-1.61824721269018,-1.61439813764985,-0.00384907504032794
"46","15.14","Freshwater marsh",-5.0517711409624,-6.31717990611161,1.26540876514922
"47","15.14","Fruit tree",-7.21859181622748,-7.39257768330824,0.173985867080756
"48","15.14","Meadow",-1.00967677652982,-2.42727860602497,1.41760182949514
"49","15.14","Pasture",-4.22155560321052,-2.22492512386873,-1.99663047934178
"50","15.14","Shrub swale",-3.43996868209278,-3.1279381645198,-0.312030517572983
"51","15.14","Wooded swale",-2.79325755217655,-3.89371064873406,1.10045309655751
"52","15.01","Beach",-3.13277168497354,-3.2591008654623,0.12632918048876
"53","15.01","Beachgrass dune",-1.86743302286229,-2.13854074466967,0.271107721807375
"54","15.01","Brackish marsh",-6.60598400291941,-2.63127193640534,-3.97471206651407
"55","15.01","Coastal scrub",-0.627840531559196,-1.69666763199447,1.06882710043527
"56","15.01","Conifer forest",-1.57348319621082,-1.59552170925936,0.0220385130485461
"57","15.01","Freshwater marsh",-5.76980979991735,-6.45464558606021,0.684835786142855
"58","15.01","Fruit tree",-6.55894073518336,-7.53004336325683,0.971102628073474
"59","15.01","Meadow",-3.21236130928486,-2.49758355876183,-0.71477775052303
"60","15.01","Pasture",-8.3793094583547,-1.38277724147084,-6.99653221688387
"61","15.01","Shrub swale",-4.23908614868506,-3.4222228343082,-0.816863314376866
"62","15.01","Wooded swale",-10.9993696689017,-4.03117632868265,-6.96819334021904
"63","15.11","Coastal scrub",-2.01656644824428,-2.85076438506094,0.834197936816659
"64","15.11","Conifer forest",-0.99087807026625,-1.19422626329768,0.203348193031431
"65","15.11","Freshwater marsh",-2.54592298108427,-2.30008479849765,-0.245838182586614
"66","15.11","Meadow",-2.12862080212371,-1.99089468504876,-0.137726117074952
"67","15.11","Shrub swale",-1.83732216199725,-1.6757960086121,-0.161526153385153
"68","15.11","Wooded swale",-1.97333557626766,-1.53582061911345,-0.437514957154214
"69","16.15","Brackish marsh",-9.70194075120161,-2.57859880678936,-7.12334194441225
"70","16.15","Coastal scrub",-3.23801031999257,-2.82803094309131,-0.409979376901264
"71","16.15","Conifer forest",-0.677966946095094,-0.703562415582774,0.0255954694876798
"72","16.15","Freshwater marsh",-10.4232555751926,-8.13897143598236,-2.28428413921023
"73","16.15","Meadow",-0.888601950400173,-1.5691483163329,0.680546365932723
"74","16.15","Pasture",-4.85236090163608,-2.5404892857785,-2.31187161585757
"75","16.15","Shrub swale",-3.90943308215411,-3.16869070761955,-0.740742374534564
"76","16.15","Wooded swale",-4.27391639280256,-3.19980046954451,-1.07411592325805
