,X15.01.X15.01_all,X15.02.X15.02_all,X15.03.X15.03_all,X15.04.X15.04_all,X15.05.X15.05_all,X15.06.X15.06_all,X15.07.X15.07_all,X15.08.X15.08_all,X15.09.X15.09_all,X15.1.X15.1_all,X15.11.X15.11_all,X15.12.X15.12_all,X15.13.X15.13_all,X15.14.X15.14_all,,
50,0.169087324,0.076412813,0.133566013,0.121803098,0.059280166,0.037260798,0.093483807,0.060001366,0.068196694,0.096288796,0.068659704,0.117517988,0.034297473,0.104206448,,0.088575892
90,0.60933416,0.382742001,0.417017376,0.421328428,0.17481301,0.22162916,0.309059018,0.208641113,0.205171304,0.354354429,0.260265921,0.40724726,0.170610443,0.48484136,,0.330503927
95,0.758181364,0.499540294,0.502013929,0.537810501,0.212412457,0.312022887,0.377426325,0.267668431,0.259031193,0.455598551,0.323972803,0.508405659,0.226733582,0.634456204,,0.419662441
99,1.035345122,0.728391343,0.660738922,0.793606681,0.289271585,0.51894129,0.511154717,0.394976523,0.376825483,0.671786816,0.439150184,0.699202985,0.330502926,0.940477747,,0.599312309
