"","id","sex","s_avg","w_avg"
"1","15.01","F",9.67,8.685
"2","15.02","F",7.24,7.07
"3","15.03","M",9.74,9.235
"6","15.06","M",7.79,7.01
"7","15.07","F",6.61,6.43
"11","15.11","M",7.545,5.83
"12","15.12","F",7.71,6.67
"13","15.13","F",7.745,7.56
"14","15.14","M",9.69,8.3325
"15","16.17","F",8.6875,8.2
"16","16.15","M",6.99,6.63
"17","16.18","M",7.36,7.17
