"","veg1","beach","beachgrass dune","coastal scrub","conifer forest","fruit tree","marsh","meadow","pasture","swale"
"1","beach",NA,"+","++++","++++","+","++++","++++","+","++++"
"2","beachgrass dune","–",NA,"++++","+++","+","+++","++++","–","++++"
"3","coastal scrub","– – – –","– – – –",NA,"–","– – – –","–","++","– – – –","+"
"4","conifer forest","– – – –","– – –","+",NA,"– – – –","+","+","– – – –","+"
"5","fruit tree","–","–","++++","++++",NA,"++++","++++","–","++++"
"6","marsh","– – – –","– – –","+","–","– – – –",NA,"+","– – – –","+"
"7","meadow","– – – –","– – – –","– –","–","– – – –","–",NA,"– – – –","–"
"8","pasture","–","+","++++","++++","+","++++","++++",NA,"++++"
"9","swale","– – – –","– – – –","–","–","– – – –","–","+","– – – –",NA
