,veg1,swale,marsh,fruit,meadow,coastal scrub,conifer forest,pasture,dune,beach,RANK
9,swale,NA,–,– – –,– – – –,– – – –,– – – –,– – – –,– – – –,– – – –,0
6,marsh,+,NA,–,–,– –,– –,– – – –,– – – –,– – – –,1
5,fruit,+++,+,NA,–,–,– – –,– – – –,– – – –,– – – –,2
7,meadow,++++,+,+,NA,–,–,– – –,– – – –,– – – –,3
2,coastal scrub,++++,++,+,+,NA,–,–,– – – –,– – – –,4
3,conifer forest,++++,++,+++,+,+,NA,– – –,– – – –,– – – –,5
8,pasture,++++,++++,++++,+++,+,+++,NA,– – – –,– – – –,6
4,dune,++++,++++,++++,++++,++++,++++,++++,NA,– – – –,7
1,beach,++++,++++,++++,++++,++++,++++,++++,++++,NA,8
