,veg1,coastal scrub,dune,conifer forest,beach,meadow,fruit,swale,marsh,pasture,RANK
2,coastal scrub,NA,–,–,– – –,–,– – – –,–,– –,– – – –,0
4,dune,+,NA,– –,– – –,–,– – –,– –,– –,– – – –,1
3,conifer forest,+,++,NA,–,–,– – – –,–,– –,– – – –,2
1,beach,+++,+++,+,NA,–,+,–,– –,– – –,4
7,meadow,+,+,+,+,NA,– –,–,–,– – – –,4
5,fruit,++++,+++,++++,–,++,NA,+++,–,–,5
9,swale,+,++,+,+,+,– – –,NA,–,– – – –,5
6,marsh,++,++,++,++,+,+,+,NA,–,7
8,pasture,++++,++++,++++,+++,++++,+,++++,+,NA,8
