"","id","veg","log_ud_wt","log_avail","sel"
"1","15.01","Beach",-5.81563544732964,-3.25911557197641,-2.55651987535323
"2","15.01","Beachgrass dune",-3.18923536121437,-2.13629424140139,-1.05294111981298
"3","15.01","Brackish marsh",-2.11345703921219,-2.63106753937448,0.517610500162292
"4","15.01","Coastal scrub",-2.50311419012823,-1.69608635439169,-0.807027835736543
"5","15.01","Conifer forest",-1.30325155890839,-1.59557366339729,0.292322104488892
"6","15.01","Freshwater marsh",-4.56922476952163,-6.45273382272523,1.8835090532036
"7","15.01","Fruit tree",-5.9165347978897,-7.52813159992186,1.61159680203217
"8","15.01","Meadow",-1.7506811456822,-2.49684010955537,0.746158963873174
"9","15.01","Pasture",-1.77436308070695,-1.38488169635865,-0.38948138434829
"10","15.01","Shrub swale",-2.35612868945865,-3.42059973901068,1.06447104955203
"11","15.01","Wooded swale",-3.49247051947677,-4.02926456534768,0.536794045870908
"12","15.02","Beach",-4.50296218897545,-2.49721224662373,-2.00574994235172
"13","15.02","Beachgrass dune",-2.03072415691526,-1.41989298988364,-0.610831167031622
"14","15.02","Brackish marsh",-4.75131181357756,-3.5256641338528,-1.22564767972476
"15","15.02","Coastal scrub",-1.35966400475121,-1.10471524123396,-0.254948763517249
"16","15.02","Conifer forest",-1.96576013722562,-2.0806122454131,0.114852108187482
"17","15.02","Meadow",-2.59026633852365,-2.99546301995322,0.405196681429563
"18","15.02","Pasture",-2.30899069979501,-2.43046112686691,0.121470427071902
"19","15.02","Shrub swale",-1.59034330017077,-3.51159040433088,1.92124710416011
"20","15.02","Wooded swale",-2.6032919111461,-3.79443383419766,1.19114192305156
"21","15.03","Beachgrass dune",-5.95899281195233,-3.04748376410468,-2.91150904784765
"22","15.03","Coastal scrub",-2.30705464648492,-2.00677986750263,-0.300274778982291
"23","15.03","Conifer forest",-2.25101993656581,-1.45824917642927,-0.792770760136542
"24","15.03","Freshwater marsh",-2.67571806181648,-2.6614944588801,-0.0142236029363771
"25","15.03","Meadow",-1.27373899051836,-1.42850766723887,0.154768676720512
"26","15.03","Shrub swale",-0.827552047263945,-1.31718279145561,0.489630744191664
"27","15.03","Wooded swale",-4.98896337143049,-4.82100663069262,-0.167956740737872
"28","15.04","Beachgrass dune",-11.6161204215059,-10.1618754486387,-1.45424497286718
"29","15.04","Coastal scrub",-2.92476654426959,-3.00880659148142,0.0840400472118281
"30","15.04","Conifer forest",-1.74970798906993,-1.38594656907104,-0.363761419998884
