"","veg","log_ud_wt","log_avail","sel"
"1","beach",-4.22988692991482,-2.88109951517626,-1.34878741473857
"2","beachgrass dune",-2.01672812614422,-1.80874493445105,-0.207983191693173
"3","coastal scrub",-1.27905419548351,-2.08550445755819,0.806450262074685
"4","conifer forest",-1.52908507737702,-1.57390468741676,0.0448196100397367
"5","fruit tree",-8.68316080380377,-9.74169833945063,1.05853753564686
"6","marsh",-2.96579198010197,-2.33934124579769,-0.62645073430428
"7","meadow",-1.88816282478125,-2.54654126204364,0.658378437262387
"8","pasture",-6.30152673691585,-2.15977769110853,-4.14174904580732
"9","swale",-1.88092311221108,-1.84240730853643,-0.03851580367465
