"","veg","log_ud_wt","log_avail","sel"
"1","beach",-4.51959728897914,-2.88109951517626,-1.63849777380288
"2","beachgrass dune",-2.98467385909778,-1.80874493445105,-1.17592892464673
"3","coastal scrub",-1.973941170616,-2.08550445755819,0.111563286942189
"4","conifer forest",-1.5835861057273,-1.57390468741676,-0.00968141831053848
"5","fruit tree",-7.74461589917556,-9.74169833945063,1.99708244027507
"6","marsh",-2.18514461862575,-2.33934124579769,0.154196627171947
"7","meadow",-1.76265711480055,-2.54654126204364,0.783884147243086
"8","pasture",-2.58637828517714,-2.15977769110853,-0.426600594068617
"9","swale",-1.44974796304261,-1.84240730853643,0.392659345493823
