"","veg1","beach","coastal scrub","conifer forest","dune","fruit","marsh","meadow","pasture","swale"
"1","beach",NA,"++++","++++","++++","++++","++++","++++","++++","++++"
"2","coastal scrub","– – – –",NA,"+","– – –","++++","+","+","+","+++"
"3","conifer forest","– – – –","–",NA,"– – – –","++++","+","+","–","++++"
"4","dune","– – – –","+++","++++",NA,"++++","++++","++++","++++","++++"
"5","fruit","– – – –","– – – –","– – – –","– – – –",NA,"– – – –","– – – –","– – – –","+"
"6","marsh","– – – –","–","–","– – – –","++++",NA,"–","–","+"
"7","meadow","– – – –","–","–","– – – –","++++","+",NA,"–","+++"
"8","pasture","– – – –","–","+","– – – –","++++","+","+",NA,"++++"
"9","swale","– – – –","– – –","– – – –","– – – –","–","–","– – –","– – – –",NA
