"","sex","season","method","percent","mean","sd","n","se","names"
"1","f","all","kde","50",0.0974539363927658,0.0487429541389987,6,0.0198992276994047,"f_all"
"2","m","all","kde","50",0.0758119997381931,0.0260947837025904,5,0.0116699420434292,"m_all"
"3","f","sum","kde","50",0.0841075887481889,0.0426847381999884,6,0.0174259713990428,"f_sum"
"4","m","sum","kde","50",0.0726962724561566,0.0413362371582132,5,0.0184861272439635,"m_sum"
"5","f","win","kde","50",0.0484834706384783,0.0148166328898382,6,0.00604886504770708,"f_win"
"6","m","win","kde","50",0.0469084976235546,0.0124618040578144,5,0.00557308819911115,"m_win"
"7","f","all","kde","90",0.35243738364593,0.164739020014154,6,0.0672544232934706,"f_all"
"8","m","all","kde","90",0.304013505696074,0.135874043315684,5,0.060764719446324,"m_all"
"9","f","sum","kde","90",0.323709938245464,0.150852824034715,6,0.0615854075238185,"f_sum"
"10","m","sum","kde","90",0.249974199532762,0.132152979900625,5,0.0591006092973921,"m_sum"
"11","f","win","kde","90",0.179792848155702,0.0613503233025124,6,0.025046164607656,"f_win"
"12","m","win","kde","90",0.167333956906363,0.0408252332278869,5,0.0182575993389677,"m_win"
"13","f","all","kde","95",0.443676595555466,0.203263254292493,6,0.0829818760790318,"f_all"
"14","m","all","kde","95",0.386846221662013,0.178380664871404,5,0.0797742585048136,"m_all"
"15","f","sum","kde","95",0.408275061949697,0.18460660471839,6,0.0753653307846207,"f_sum"
"16","m","sum","kde","95",0.315699095106928,0.163530052680425,5,0.0731328628315104,"m_sum"
"17","f","win","kde","95",0.229121145935298,0.0748505915111898,6,0.0305576260246522,"f_win"
"18","m","win","kde","95",0.218516888317647,0.0625008090996157,5,0.0279512115590956,"m_win"
"19","f","all","mcp","95",0.294448139872233,0.211063930993059,6,0.0861664890064989,"f_all"
"20","m","all","mcp","95",0.234576089990234,0.197454436131337,5,0.0883043083297121,"m_all"
"21","f","sum","mcp","95",0.258652409261068,0.202212334643177,6,0.0825528399287836,"f_sum"
"22","m","sum","mcp","95",0.152592380737305,0.161947630644801,5,0.0724251821833608,"m_sum"
"23","f","win","mcp","95",0.0633549836425781,0.0585983329670709,6,0.0239226692578389,"f_win"
"24","m","win","mcp","95",0.0748301905517578,0.06760724989992,5,0.0302348813096074,"m_win"
"25","f","all","kde","99",0.616339002859109,0.275229174717419,6,0.112361840064166,"f_all"
"26","m","all","kde","99",0.547073147531244,0.264423216837769,5,0.118253657535684,"m_all"
"27","f","sum","kde","99",0.571757039692274,0.248135300777434,6,0.101300812346124,"f_sum"
"28","m","sum","kde","99",0.44968872286568,0.230504917319633,5,0.103084932854934,"m_sum"
"29","f","win","kde","99",0.327114966689654,0.0993545139058096,6,0.0405613104519149,"f_win"
"30","m","win","kde","99",0.328492154524327,0.111956294632453,5,0.050068377061432,"m_win"
