"","X15.01.X15.01_all","X15.01.X15.01_sum","X15.01.X15.01_win","X15.02.X15.02_all","X15.02.X15.02_sum","X15.02.X15.02_win","X15.03.X15.03_all","X15.03.X15.03_sum","X15.03.X15.03_win","X15.05.X15.05_all","X15.05.X15.05_sum","X15.06.X15.06_all","X15.06.X15.06_sum","X15.07.X15.07_all","X15.07.X15.07_sum","X15.07.X15.07_win","X15.08.X15.08_all","X15.08.X15.08_sum","X15.09.X15.09_all","X15.09.X15.09_sum","X15.10.X15.10_all","X15.10.X15.10_sum","X15.11.X15.11_all","X15.11.X15.11_sum","X15.11.X15.11_win","X15.12.X15.12_all","X15.12.X15.12_sum","X15.12.X15.12_win","X15.13.X15.13_all","X15.13.X15.13_sum","X15.13.X15.13_win","X15.14.X15.14_all","X15.14.X15.14_sum","X15.14.X15.14_win","X16.15.X16.15_all","X16.15.X16.15_sum","X16.15.X16.15_win","X16.17.X16.17_all","X16.17.X16.17_sum","X16.17.X16.17_win","X16.18.X16.18_all","X16.18.X16.18_sum","X16.18.X16.18_win"
"50",0.17441367181476,0.143036642571017,0.0531666328852323,0.0814488923985439,0.0568495836360824,0.0368021154713991,0.105153261318142,0.109708287384458,0.0493299631437183,0.0592801660847074,0.0592801660847074,0.0372607976051783,0.0330024207360151,0.0934838070791217,0.0918352337177679,0.0618699885025722,0.0600013658317358,0.0570792213918785,0.0681966941655305,0.0686810456865926,0.0962887959209666,0.104061857145666,0.0710875574578693,0.0591425170653584,0.0644837952896519,0.129302749126761,0.126297962602825,0.0646513745633803,0.0381949136316337,0.0236769490114464,0.0284513132154006,0.0938246137938959,0.118469341719076,0.035608721057249,0.0650432123735625,0.0314537325507974,0.0448506927113222,0.0705858623978622,0.0518016959984311,0.041635007998739,0.0459732524526858,0.0397130648846605,0.0403977728999133
"90",0.610496272693086,0.512491477647813,0.245302515661737,0.376834292892669,0.329766324158195,0.159120725577655,0.413150555759668,0.342402278559444,0.196447613540898,0.174813010365117,0.174813010365117,0.22162915978145,0.206240934276974,0.309059017802034,0.317689784223239,0.204520071711481,0.208641113005808,0.19188748488396,0.205171304321866,0.204880693409229,0.354354428580994,0.364653734703721,0.257935181158608,0.212777101625945,0.17946694833626,0.456242908650421,0.471169912672551,0.215859986735604,0.17138993132154,0.112538584807492,0.116143716961498,0.472033863606312,0.419057401215963,0.188328413003053,0.235805914709527,0.170471464071606,0.1245528977243,0.184162291194422,0.169735276794859,0.118127231996422,0.150635763355609,0.112585560793705,0.130974861774779
"95",0.756438195749635,0.641292245839724,0.308831315612032,0.494504214728853,0.436492459025252,0.210643687237613,0.512682721081081,0.411793739484596,0.261090217503295,0.212412456728564,0.212412456728564,0.312022886958688,0.292279503292568,0.377426324846412,0.386929865400099,0.255334921202622,0.267668430690925,0.245167918504024,0.259031193463961,0.2577718795092,0.455598551032707,0.465800693890125,0.321642063251999,0.27104559134551,0.219575092093227,0.571394082535423,0.579633013326858,0.278669717945605,0.22741563371488,0.159210430801249,0.153656578563996,0.62242491984265,0.535877292640835,0.261583411363333,0.295218520638811,0.22833079925764,0.154162121267488,0.224441740793202,0.209143295993666,0.147368563195537,0.188196888763761,0.139876065973065,0.164329923660664
"99",1.03273036992371,0.889209513938439,0.440634206972326,0.724033198063631,0.65585243676925,0.313399067540652,0.685870627049302,0.547863028784754,0.396578014114136,0.289271584749429,0.289271584749429,0.518941290283029,0.490777934171063,0.511154716923289,0.52124010689863,0.355897896245204,0.39497652345404,0.361079647951696,0.376825483386241,0.373338152434595,0.671786816344665,0.681211653079614,0.437305015345335,0.379619210522966,0.302607689943607,0.769903850310239,0.774847208785101,0.402641394207319,0.331282414151925,0.249338734651405,0.228779737773153,0.930581045395301,0.781645386477379,0.427498705662777,0.411131349853787,0.346864772851849,0.217943301162161,0.308776838390648,0.290767276791194,0.210789331193616,0.266644864225578,0.199054401577055,0.235343926385451
