"","X15.01.X15.01_all","X15.01.X15.01_sum","X15.02.X15.02_all","X15.02.X15.02_sum","X15.03.X15.03_all","X15.03.X15.03_sum","X15.04.X15.04_all","X15.04.X15.04_sum","X15.05.X15.05_all","X15.05.X15.05_sum","X15.06.X15.06_all","X15.06.X15.06_sum","X15.07.X15.07_all","X15.07.X15.07_sum","X15.08.X15.08_all","X15.08.X15.08_sum","X15.09.X15.09_all","X15.09.X15.09_sum","X15.10.X15.10_all","X15.10.X15.10_sum","X15.11.X15.11_all","X15.11.X15.11_sum","X15.12.X15.12_all","X15.12.X15.12_sum","X15.13.X15.13_all","X15.13.X15.13_sum","X15.14.X15.14_all","X15.14.X15.14_sum","X16.15.X16.15_all","X16.15.X16.15_sum","X16.17.X16.17_all","X16.17.X16.17_sum","X16.18.X16.18_all","X16.18.X16.18_sum"
"50",0.17441367181476,0.143036642571017,0.0814488923985439,0.0568495836360824,0.105153261318142,0.109708287384458,0.121803097882662,0.121803097882662,0.0592801660847074,0.0592801660847074,0.0372607976051783,0.0330024207360151,0.0934838070791217,0.0918352337177679,0.0600013658317358,0.0570792213918785,0.0681966941655305,0.0686810456865926,0.0962887959209666,0.104061857145666,0.0710875574578693,0.0591425170653584,0.129302749126761,0.126297962602825,0.0381949136316337,0.0236769490114464,0.0938246137938959,0.118469341719076,0.0650432123735625,0.0314537325507974,0.0709731647978504,0.0470572415985748,0.0459732524526858,0.0397130648846605
"90",0.610496272693086,0.512491477647813,0.376834292892669,0.329766324158195,0.413150555759668,0.342402278559444,0.421328428339154,0.421328428339154,0.174813010365117,0.174813010365117,0.22162915978145,0.206240934276974,0.309059017802034,0.317689784223239,0.208641113005808,0.19188748488396,0.205171304321866,0.204880693409229,0.354354428580994,0.364653734703721,0.257935181158608,0.212777101625945,0.456242908650421,0.471169912672551,0.17138993132154,0.112538584807492,0.472033863606312,0.419057401215963,0.235805914709527,0.170471464071606,0.184355942394416,0.160343193595144,0.150635763355609,0.112585560793705
"95",0.756438195749635,0.641292245839724,0.494504214728853,0.436492459025252,0.512682721081081,0.411793739484596,0.537810501294456,0.537810501294456,0.212412456728564,0.212412456728564,0.312022886958688,0.292279503292568,0.377426324846412,0.386929865400099,0.267668430690925,0.245167918504024,0.259031193463961,0.2577718795092,0.455598551032707,0.465800693890125,0.321642063251999,0.27104559134551,0.571394082535423,0.579633013326858,0.22741563371488,0.159210430801249,0.62242491984265,0.535877292640835,0.295218520638811,0.22833079925764,0.224635391993197,0.199460735993959,0.188196888763761,0.139876065973065
"99",1.03273036992371,0.889209513938439,0.724033198063631,0.65585243676925,0.685870627049302,0.547863028784754,0.793606681438824,0.793606681438824,0.289271584749429,0.289271584749429,0.518941290283029,0.490777934171063,0.511154716923289,0.52124010689863,0.39497652345404,0.361079647951696,0.376825483386241,0.373338152434595,0.671786816344665,0.681211653079614,0.437305015345335,0.379619210522966,0.769903850310239,0.774847208785101,0.331282414151925,0.249338734651405,0.930581045395301,0.781645386477379,0.411131349853787,0.346864772851849,0.308873663990645,0.280019635191519,0.266644864225578,0.199054401577055
