X15.03.X15.03_win,X15.07.X15.07_win,X15.02.X15.02_win,X15.12.X15.12_win,X15.13.X15.13_win,X15.14.X15.14_win,X15.01.X15.01_win,X15.11.X15.11_win,X16.15.X16.15_win,,
0.055369183,0.061869989,0.049198618,0.057597366,0.031374393,0.040265992,0.046484488,0.056617549,0.044810425,,0.049287556
0.209334369,0.204520072,0.176747002,0.159336579,0.121112953,0.20278536,0.227580305,0.173834328,0.124571028,,0.177757999
0.26664633,0.255334921,0.225848772,0.196411859,0.157456583,0.276331438,0.29236806,0.217729923,0.154151766,,0.226919961
0.390012757,0.355897896,0.323955464,0.274918521,0.229851534,0.441373493,0.425817276,0.305521114,0.217999299,,0.329483039
