,veg1,Meadow,Swale,Marsh,Coastal scrub,Conifer forest,Fruit,Dune,Pasture,Beach,rank
7,Meadow,NA,–,–,– – –,– –,– – –,– – – –,– – – –,– – – –,0
9,Swale,+,NA,–,– – – –,– –,– – –,– – – –,– – – –,– – – –,1
6,Marsh,+,+,NA,–,–,– – –,– – – –,– – – –,– – – –,2
2,Coastal scrub,+++,++++,+,NA,–,– –,– – – –,– – – –,– – – –,3
3,Conifer forest,++,++,+,+,NA,– –,– – – –,– – – –,– – – –,4
5,Fruit,+++,+++,+++,++,++,NA,– –,– – –,– – – –,5
4,Dune,++++,++++,++++,++++,++++,++,NA,–,–,6
8,Pasture,++++,++++,++++,++++,++++,+++,+,NA,–,7
1,Beach,++++,++++,++++,++++,++++,++++,+,+,NA,8
